Date,Gender,Age,Conducted,Passed,Pass rate (Percentage)
2022 to 2023,Male,44,"5,669","2,339",41.3
2022 to 2023,Male,45,"4,809","1,881",39.1
2022 to 2023,Male,46,"4,259","1,779",41.8
2022 to 2023,Male,47,"3,864","1,550",40.1
2022 to 2023,Male,48,"3,181","1,274",40.1
2022 to 2023,Male,49,"2,828","1,099",38.9
2022 to 2023,Male,50,"2,409",947,39.3
2022 to 2023,Male,51,"2,014",821,40.8
2022 to 2023,Male,52,"1,881",694,36.9
2022 to 2023,Male,53,"1,628",639,39.3
2022 to 2023,Male,54,"1,429",537,37.6
2022 to 2023,Male,55,"1,106",404,36.5
2022 to 2023,Male,56,927,352,38.0
2022 to 2023,Male,57,808,319,39.5
2022 to 2023,Male,58,712,267,37.5
2022 to 2023,Male,59,556,194,34.9
2022 to 2023,Male,60 and over,"2,491",984,39.5
2022 to 2023,Male,Total,"886,928","444,828",50.2
2022 to 2023,Male,Unknown,[c],[c],[c]
2022 to 2023,Total,17,"264,290","155,838",59.0
2022 to 2023,Total,18,"240,322","123,921",51.6
2022 to 2023,Total,19,"150,251","74,428",49.5
2022 to 2023,Total,20,"97,224","46,763",48.1
2022 to 2023,Total,21,"77,067","36,983",48.0
2022 to 2023,Total,22,"67,137","32,519",48.4
2022 to 2023,Total,23,"60,694","29,319",48.3
2022 to 2023,Total,24,"56,256","26,774",47.6
2022 to 2023,Total,25,"52,621","24,820",47.2
2022 to 2023,Total,26,"48,592","22,709",46.7
2022 to 2023,Total,27,"44,018","20,511",46.6
2022 to 2023,Total,28,"41,547","19,005",45.7
2022 to 2023,Total,29,"39,079","17,960",46.0
2022 to 2023,Total,30,"37,483","16,902",45.1
2022 to 2023,Total,31,"36,763","16,278",44.3
2022 to 2023,Total,32,"36,072","15,683",43.5
2022 to 2023,Total,33,"34,498","14,819",43.0
2022 to 2023,Total,34,"32,911","14,143",43.0
2022 to 2023,Total,35,"30,261","12,689",41.9
2022 to 2023,Total,36,"27,825","11,515",41.4
2022 to 2023,Total,37,"26,024","10,776",41.4
2022 to 2023,Total,38,"23,408","9,527",40.7
2022 to 2023,Total,39,"21,438","8,644",40.3
2022 to 2023,Total,40,"19,147","7,571",39.5
2022 to 2023,Total,41,"16,871","6,681",39.6
2022 to 2023,Total,42,"15,223","5,933",39.0
2022 to 2023,Total,43,"13,114","4,974",37.9
2022 to 2023,Total,44,"10,893","4,168",38.3
2022 to 2023,Total,45,"9,318","3,437",36.9
2022 to 2023,Total,46,"8,314","3,145",37.8
2022 to 2023,Total,47,"7,328","2,718",37.1
2022 to 2023,Total,48,"6,217","2,296",36.9
2022 to 2023,Total,49,"5,482","1,979",36.1
2022 to 2023,Total,50,"4,608","1,697",36.8
2022 to 2023,Total,51,"3,958","1,503",38.0
2022 to 2023,Total,52,"3,538","1,260",35.6
2022 to 2023,Total,53,"3,167","1,172",37.0
2022 to 2023,Total,54,"2,807","1,011",36.0
2022 to 2023,Total,55,"2,289",786,34.3
2022 to 2023,Total,56,"1,906",690,36.2
2022 to 2023,Total,57,"1,672",620,37.1
2022 to 2023,Total,58,"1,401",494,35.3
2022 to 2023,Total,59,"1,135",381,33.6
2022 to 2023,Total,60 and over,"4,635","1,657",35.7
2022 to 2023,Total,Total,"1,688,955","816,775",48.4
2022 to 2023,Total,Unknown,38,13,34.2
2023 to 2024,Female,17,"138,313","80,395",58.1
2023 to 2024,Female,18,"115,989","59,083",50.9
2023 to 2024,Female,19,"72,205","34,821",48.2
2023 to 2024,Female,20,"52,914","25,106",47.4
2023 to 2024,Female,21,"40,398","19,189",47.5
2023 to 2024,Female,22,"35,056","16,834",48.0
2023 to 2024,Female,23,"30,864","14,813",48.0
2023 to 2024,Female,24,"27,732","12,980",46.8
2023 to 2024,Female,25,"25,945","11,826",45.6
2023 to 2024,Female,26,"24,594","11,209",45.6
2023 to 2024,Female,27,"22,574","10,011",44.3
2023 to 2024,Female,28,"21,601","9,475",43.9
2023 to 2024,Female,29,"21,098","9,102",43.1
2023 to 2024,Female,30,"19,975","8,481",42.5
2023 to 2024,Female,31,"18,968","7,950",41.9
2023 to 2024,Female,32,"18,778","7,825",41.7
2023 to 2024,Female,33,"19,088","7,585",39.7
2023 to 2024,Female,34,"18,005","7,110",39.5
2023 to 2024,Female,35,"17,515","6,659",38.0
2023 to 2024,Female,36,"16,485","6,262",38.0
2023 to 2024,Female,37,"15,513","5,792",37.3
2023 to 2024,Female,38,"14,059","5,222",37.1
2023 to 2024,Female,39,"12,803","4,726",36.9
2023 to 2024,Female,40,"11,826","4,254",36.0
2023 to 2024,Female,41,"10,574","3,778",35.7
2023 to 2024,Female,42,"9,124","3,209",35.2
2023 to 2024,Female,43,"8,371","2,936",35.1
2023 to 2024,Female,44,"6,969","2,410",34.6
2023 to 2024,Female,45,"5,787","1,966",34.0
2023 to 2024,Female,46,"4,992","1,724",34.5
2023 to 2024,Female,47,"4,287","1,433",33.4
2023 to 2024,Female,48,"3,808","1,275",33.5
2023 to 2024,Female,49,"3,272","1,085",33.2
2023 to 2024,Female,50,"2,890",966,33.4
2023 to 2024,Female,51,"2,381",798,33.5
2023 to 2024,Female,52,"2,077",713,34.3
2023 to 2024,Female,53,"1,759",580,33.0
2023 to 2024,Female,54,"1,467",498,33.9
2023 to 2024,Female,55,"1,443",483,33.5
2023 to 2024,Female,56,"1,206",390,32.3
2023 to 2024,Female,57,946,339,35.8
2023 to 2024,Female,58,799,285,35.7
2023 to 2024,Female,59,669,239,35.7
2023 to 2024,Female,60 and over,"2,674",860,32.2
2023 to 2024,Female,Total,"887,823","412,698",46.5
2023 to 2024,Female,Unknown,[c],[c],[c]
2023 to 2024,Male,17,"163,593","98,398",60.1
2023 to 2024,Male,18,"125,556","65,554",52.2
2023 to 2024,Male,19,"80,542","40,555",50.4
2023 to 2024,Male,20,"59,585","29,692",49.8
2023 to 2024,Male,21,"47,464","23,633",49.8
2023 to 2024,Male,22,"40,747","20,197",49.6
2023 to 2024,Male,23,"36,828","18,159",49.3
2023 to 2024,Male,24,"35,195","16,937",48.1
2023 to 2024,Male,25,"34,341","16,442",47.9
2023 to 2024,Male,26,"33,244","15,558",46.8
2023 to 2024,Male,27,"31,634","14,741",46.6
2023 to 2024,Male,28,"30,191","13,686",45.3
2023 to 2024,Male,29,"28,174","12,981",46.1
2023 to 2024,Male,30,"27,321","12,403",45.4
2023 to 2024,Male,31,"26,294","11,858",45.1
2023 to 2024,Male,32,"24,203","10,919",45.1
2023 to 2024,Male,33,"23,339","10,264",44.0
2023 to 2024,Male,34,"22,019","9,758",44.3
2023 to 2024,Male,35,"20,682","9,103",44.0
2023 to 2024,Male,36,"19,317","8,389",43.4
2023 to 2024,Male,37,"17,674","7,507",42.5
2023 to 2024,Male,38,"16,463","6,881",41.8
2023 to 2024,Male,39,"14,345","6,094",42.5
2023 to 2024,Male,40,"13,274","5,447",41.0
2023 to 2024,Male,41,"11,764","4,820",41.0
2023 to 2024,Male,42,"10,318","4,251",41.2
2023 to 2024,Male,43,"9,130","3,788",41.5
2023 to 2024,Male,44,"8,031","3,239",40.3
2023 to 2024,Male,45,"6,712","2,690",40.1
2023 to 2024,Male,46,"5,766","2,255",39.1
2023 to 2024,Male,47,"5,152","1,937",37.6
2023 to 2024,Male,48,"4,494","1,680",37.4
2023 to 2024,Male,49,"3,766","1,423",37.8
2023 to 2024,Male,50,"3,314","1,266",38.2
2023 to 2024,Male,51,"2,676",974,36.4
2023 to 2024,Male,52,"2,226",874,39.3
2023 to 2024,Male,53,"2,015",754,37.4
2023 to 2024,Male,54,"1,700",634,37.3
2023 to 2024,Male,55,"1,421",536,37.7
2023 to 2024,Male,56,"1,089",395,36.3
2023 to 2024,Male,57,968,362,37.4
2023 to 2024,Male,58,811,271,33.4
2023 to 2024,Male,59,670,246,36.7
2023 to 2024,Male,60 and over,"3,216","1,179",36.7
2023 to 2024,Male,Total,"1,057,391","518,790",49.1
2023 to 2024,Male,Unknown,[c],[c],[c]
2023 to 2024,Total,17,"301,906","178,793",59.2
2023 to 2024,Total,18,"241,545","124,637",51.6
2023 to 2024,Total,19,"152,747","75,376",49.3
2023 to 2024,Total,20,"112,499","54,798",48.7
2023 to 2024,Total,21,"87,862","42,822",48.7
2023 to 2024,Total,22,"75,803","37,031",48.9
2023 to 2024,Total,23,"67,692","32,972",48.7
2023 to 2024,Total,24,"62,927","29,917",47.5
2023 to 2024,Total,25,"60,288","28,269",46.9
2023 to 2024,Total,26,"57,838","26,767",46.3
2023 to 2024,Total,27,"54,210","24,753",45.7
2023 to 2024,Total,28,"51,792","23,161",44.7
2023 to 2024,Total,29,"49,272","22,083",44.8
2023 to 2024,Total,30,"47,296","20,884",44.2
2023 to 2024,Total,31,"45,262","19,808",43.8
2023 to 2024,Total,32,"42,983","18,746",43.6
2023 to 2024,Total,33,"42,427","17,849",42.1
2023 to 2024,Total,34,"40,024","16,868",42.1
2023 to 2024,Total,35,"38,197","15,762",41.3
2023 to 2024,Total,36,"35,803","14,651",40.9
2023 to 2024,Total,37,"33,190","13,300",40.1
2023 to 2024,Total,38,"30,522","12,103",39.7
2023 to 2024,Total,39,"27,148","10,820",39.9
2023 to 2024,Total,40,"25,100","9,701",38.6
2023 to 2024,Total,41,"22,339","8,599",38.5
2023 to 2024,Total,42,"19,442","7,460",38.4
2023 to 2024,Total,43,"17,501","6,724",38.4
2023 to 2024,Total,44,"15,000","5,649",37.7
2023 to 2024,Total,45,"12,499","4,656",37.3
2023 to 2024,Total,46,"10,758","3,979",37.0
2023 to 2024,Total,47,"9,439","3,370",35.7
2023 to 2024,Total,48,"8,302","2,955",35.6
2023 to 2024,Total,49,"7,038","2,508",35.6
2023 to 2024,Total,50,"6,204","2,232",36.0
2023 to 2024,Total,51,"5,057","1,772",35.0
2023 to 2024,Total,52,"4,303","1,587",36.9
2023 to 2024,Total,53,"3,774","1,334",35.3
2023 to 2024,Total,54,"3,167","1,132",35.7
2023 to 2024,Total,55,"2,864","1,019",35.6
2023 to 2024,Total,56,"2,295",785,34.2
2023 to 2024,Total,57,"1,914",701,36.6
2023 to 2024,Total,58,"1,610",556,34.5
2023 to 2024,Total,59,"1,339",485,36.2
2023 to 2024,Total,60 and over,"5,890","2,039",34.6
2023 to 2024,Total,Total,"1,945,225","931,494",47.9
2023 to 2024,Total,Unknown,42,12,28.6
